id;jml_suara;paslon_id;tps_id;;;
197;6;0;197;;;
198;2;0;198;;;
199;2;0;199;;;
200;1;0;200;;;
201;16;0;201;;;
202;2;0;202;;;
203;0;0;203;;;
204;17;0;204;;;
205;2;0;205;;;
206;0;0;206;;;
207;0;0;207;;;
208;3;0;208;;;
209;12;0;209;;;
210;13;0;210;;;
211;12;0;211;;;
212;14;0;212;;;
213;12;0;213;;;
214;1;0;214;;;
215;2;0;215;;;
216;2;0;216;;;
217;18;0;217;;;
218;9;0;218;;;
219;7;0;219;;;
220;10;0;220;;;
221;6;0;221;;;
222;9;0;222;;;
223;0;0;223;;;
224;3;0;224;;;
225;7;0;225;;;
226;7;0;226;;;
227;5;0;227;;;
228;7;0;228;;;
229;24;0;229;;;
230;1;0;230;;;
231;0;0;231;;;
232;12;0;232;;;
233;9;0;233;;;
234;0;0;234;;;
235;6;0;235;;;
236;8;0;236;;;
237;11;0;237;;;
238;3;0;238;;;
239;2;0;239;;;
240;2;0;240;;;
241;0;0;241;;;
242;2;0;242;;;
243;8;0;243;;;
244;1;0;244;;;
245;1;0;245;;;
246;0;0;246;;;
247;18;0;247;;;
248;2;0;248;;;
249;2;0;249;;;
250;5;0;250;;;
251;2;0;251;;;
252;2;0;252;;;
253;1;0;253;;;
254;16;0;254;;;
255;8;0;255;;;
256;13;0;256;;;
257;3;0;257;;;
258;17;0;258;;;
259;10;0;259;;;
260;1;0;260;;;
261;0;0;261;;;
262;0;0;262;;;
263;0;0;263;;;
264;10;0;264;;;
265;1;0;265;;;
266;1;0;266;;;
267;15;0;267;;;
268;0;0;268;;;
269;1;0;269;;;
270;0;0;270;;;
271;1;0;271;;;
272;0;0;272;;;
273;6;0;273;;;
274;0;0;274;;;
275;0;0;275;;;
276;1;0;276;;;
277;0;0;277;;;
278;12;0;278;;;
279;2;0;279;;;
280;0;0;280;;;
281;5;0;281;;;
282;2;0;282;;;
283;11;0;283;;;
284;27;0;284;;;
285;0;0;285;;;
286;2;0;286;;;
287;2;0;287;;;
288;8;0;288;;;
289;0;0;289;;;
290;0;0;290;;;
291;0;0;291;;;
292;9;0;292;;;
293;14;0;293;;;
294;10;0;294;;;
295;15;0;295;;;
296;0;0;296;;;
297;2;0;297;;;
298;1;0;298;;;
299;0;0;299;;;
300;0;0;300;;;
301;0;0;301;;;
302;3;0;302;;;
303;10;0;303;;;
304;6;0;304;;;
305;0;0;305;;;
306;0;0;306;;;
307;1;0;307;;;
308;2;0;308;;;
309;1;0;309;;;
310;0;0;310;;;
311;6;0;311;;;
312;0;0;312;;;
313;22;0;313;;;
314;0;0;314;;;
315;0;0;315;;;
316;1;0;316;;;
317;0;0;317;;;
318;2;0;318;;;
319;0;0;319;;;
320;0;0;320;;;
321;2;0;321;;;
322;2;0;322;;;
323;0;0;323;;;
324;0;0;324;;;
325;1;0;325;;;
326;4;0;326;;;
327;6;0;327;;;
328;8;0;328;;;
329;0;0;329;;;
330;9;0;330;;;
331;8;0;331;;;
332;24;0;332;;;
333;1;0;333;;;
334;1;0;334;;;
335;1;0;335;;;
336;13;0;336;;;
337;0;0;337;;;
338;1;0;338;;;
339;8;0;339;;;
340;7;0;340;;;
341;1;0;341;;;
342;2;0;342;;;
343;6;0;343;;;
344;3;0;344;;;
345;25;0;345;;;
346;3;0;346;;;
347;6;0;347;;;
348;0;0;348;;;
349;1;0;349;;;
350;6;0;350;;;
351;0;0;351;;;
352;3;0;352;;;
353;15;0;353;;;
354;0;0;354;;;
355;5;0;355;;;
356;6;0;356;;;
357;3;0;357;;;
358;0;0;358;;;
359;4;0;359;;;
360;9;0;360;;;
361;5;0;361;;;
362;2;0;362;;;
363;2;0;363;;;
364;10;0;364;;;
365;6;0;365;;;
366;35;0;366;;;
367;28;0;367;;;
368;12;0;368;;;
369;1;0;369;;;
370;0;0;370;;;
371;0;0;371;;;
372;18;0;372;;;
373;0;0;373;;;
374;12;0;374;;;
375;10;0;375;;;
376;17;0;376;;;
377;0;0;377;;;
378;1;0;378;;;
379;0;0;379;;;
380;10;0;380;;;
381;0;0;381;;;
382;4;0;382;;;
383;0;0;383;;;
384;2;0;384;;;
385;0;0;385;;;
386;0;0;386;;;
387;5;0;387;;;
388;0;0;388;;;
389;7;0;389;;;
390;2;0;390;;;
391;28;0;391;;;
392;3;0;392;;;
393;3;0;393;;;
394;0;0;394;;;
395;21;0;395;;;
396;12;0;396;;;
397;29;0;397;;;
398;31;0;398;;;
399;0;0;399;;;
400;2;0;400;;;
401;7;0;401;;;
402;27;0;402;;;
403;5;0;403;;;
404;16;0;404;;;
405;3;0;405;;;
406;4;0;406;;;
407;2;0;407;;;
408;11;0;408;;;
409;15;0;409;;;
410;1;0;410;;;
411;0;0;411;;;
412;2;0;412;;;
413;0;0;413;;;
414;27;0;414;;;
415;12;0;415;;;
416;0;0;416;;;
417;0;0;417;;;
418;2;0;418;;;
419;22;0;419;;;
420;7;0;420;;;
421;8;0;421;;;
