id;tps;dpt;desa_id
176;8;410;28
177;9;405;28
178;10;407;28
179;11;428;28
180;12;256;28
181;1;445;29
182;2;317;29
183;3;450;29
184;4;434;29
185;5;330;29
186;6;458;29
187;1;373;30
188;2;249;30
189;1;359;31
190;2;299;31
191;3;330;31
192;4;476;31
193;5;431;31
194;6;334;31
195;7;304;31
196;1;406;32
197;2;332;32
198;3;467;32
199;4;445;32
200;5;462;32
201;6;473;32
202;1;449;33
203;2;445;33
204;3;327;33
205;4;320;33
206;5;332;33
207;6;270;33
208;7;143;33
209;1;316;34
210;2;456;34
211;3;349;34
212;4;323;34
213;5;258;34
214;6;470;34
215;7;430;34
216;8;330;34
217;9;419;34
218;10;269;34
219;1;372;35
220;2;193;35
221;3;316;35
222;1;343;36
223;2;395;36
224;3;374;36
225;4;417;36
226;5;359;36
227;6;436;36
228;7;390;36
229;8;360;36
230;9;285;36
231;10;331;36
232;11;346;36
233;12;411;36
234;13;390;36
235;14;240;36
236;1;462;37
237;2;436;37
238;3;451;37
239;1;384;38
240;2;320;38
241;3;376;38
242;4;411;38
243;5;388;38
244;6;427;38
245;7;456;38
246;8;460;38
247;9;384;38
248;10;409;38
249;11;258;38
250;12;297;38
251;13;471;38
252;14;427;38
253;15;476;38
254;1;411;39
255;2;365;39
256;3;451;39
257;4;362;39
258;5;297;39
259;6;362;39
260;7;357;39
261;8;276;39
262;1;385;40
263;2;400;40
264;3;409;40
265;4;419;40
266;5;428;40
267;6;412;40
268;7;399;40
269;8;315;40
270;1;374;41
271;2;453;41
272;3;377;41
273;4;277;41
274;5;349;41
275;6;394;41
276;1;340;42
277;2;424;42
278;3;446;42
279;4;468;42
280;5;391;42
281;6;482;42
282;7;461;42
283;8;342;42
284;9;329;42
285;1;358;43
286;2;275;43
287;3;333;43
288;4;293;43
289;5;387;43
290;6;374;43
291;7;362;43
292;8;333;43
293;9;393;43
294;10;423;43
295;1;479;44
296;2;459;44
297;3;404;44
298;4;403;44
299;5;370;44
300;6;336;44
301;1;461;45
302;2;445;45
303;3;447;45
304;4;423;45
305;5;382;45
306;6;344;45
307;1;481;46
308;2;463;46
309;3;456;46
310;4;482;46
311;5;308;46
312;6;473;46
313;7;379;46
314;8;476;46
315;9;479;46
316;10;325;46
317;11;403;46
318;12;442;46
319;13;388;46
320;14;357;46
321;15;316;46
322;16;428;46
323;1;427;47
